key,shopKey,productKey,scope,sourceType,businessStatus,indexStatus,category,showcaseRole,reviewAction,question,answer
k001,shop_mia_fashion,,STORE,MANUAL,ENABLED,READY,SHIPPING_POLICY,scenario_3_shipping,KEEP,多久发货？,普通现货商品通常在24小时内发出；预售商品以商品说明为准。
k002,shop_mia_fashion,,STORE,MANUAL,ENABLED,READY,SHIPPING_POLICY,scenario_3_remote_shipping,KEEP,偏远地区多久发货？,新疆、西藏等偏远地区的履约时效以实际物流信息为准，不作固定时效承诺。
k003,shop_mia_fashion,,STORE,MANUAL,ENABLED,READY,LOGISTICS_POLICY,supporting,KEEP,发什么快递？,默认使用顺丰或中通，具体承运方以订单物流信息为准。
k004,shop_mia_fashion,,STORE,MANUAL,ENABLED,READY,LOGISTICS_POLICY,supporting,KEEP,支持指定快递吗？,是否支持指定快递需要人工确认，AI不做确定承诺。
k005,shop_mia_fashion,,STORE,MANUAL,ENABLED,READY,SHIPPING_POLICY,supporting,KEEP,是否包邮？,普通地区是否包邮以商品页与下单页面显示为准，偏远地区可能产生附加运费。
k006,shop_mia_fashion,,STORE,MANUAL,ENABLED,READY,ORDER_POLICY,supporting,KEEP,有运费险吗？,运费险以订单页面实际展示为准。
k007,shop_mia_fashion,,STORE,MANUAL,ENABLED,READY,AFTER_SALES,supporting,KEEP,支持七天无理由吗？,支持7天无理由退货，但商品需保持完好，不影响二次销售。
k008,shop_mia_fashion,,STORE,MANUAL,ENABLED,READY,AFTER_SALES,scenario_4_damage,KEEP,商品破损怎么办？,请上传破损位置的清晰图片，客服会根据订单和售后政策协助处理。
k009,shop_mia_fashion,,STORE,MANUAL,ENABLED,READY,AFTER_SALES,supporting,KEEP,可以换货吗？,换货需要人工确认商品状态和可换条件，AI只提供流程说明。
k010,shop_mia_fashion,,STORE,MANUAL,ENABLED,READY,HUMAN_HANDOFF,supporting,KEEP,怎么转人工？,您可以直接回复“人工”，当前会话会切换为人工处理。
k011,shop_mia_fashion,,STORE,MANUAL,ENABLED,READY,GUIDANCE,scenario_2_size,KEEP,尺码怎么选？,请提供身高、体重、偏好版型，并结合当前商品尺码表选择。
k012,shop_mia_fashion,,STORE,MANUAL,ENABLED,READY,GUIDANCE,supporting,KEEP,如何洗护？,不同商品洗护要求不同，请发送商品卡或商品名称后查询。
k013,shop_mia_fashion,,STORE,MANUAL,ENABLED,READY,ORDER_POLICY,supporting,KEEP,订单怎么查？,请发送订单卡或进入订单详情，以避免关联错误记录。
k014,shop_mia_fashion,,STORE,MANUAL,ENABLED,READY,HUMAN_HANDOFF,supporting,KEEP,可以改地址吗？,改地址属于高风险操作，需要人工核验后处理。
k015,shop_mia_fashion,,STORE,MANUAL,ENABLED,READY,AFTER_SALES,scenario_4_refund,KEEP,可以退款吗？,退款需要结合订单、商品状态和售后政策，由人工确认。
k016,shop_pixel_tech,,STORE,MANUAL,ENABLED,READY,SHIPPING_POLICY,cross_shop_shipping,KEEP,多久发货？,数码商品通常在48小时内发出；预售或定制商品以商品页说明为准。
k017,shop_pixel_tech,,STORE,MANUAL,ENABLED,READY,LOGISTICS_POLICY,supporting,KEEP,发什么快递？,默认使用顺丰、京东物流或中通，具体以订单为准。
k018,shop_pixel_tech,,STORE,MANUAL,ENABLED,READY,COMPATIBILITY_ROUTING,supporting,KEEP,支持Mac吗？,是否支持macOS取决于具体商品，请发送商品卡或商品名称。
k019,shop_pixel_tech,,STORE,MANUAL,ENABLED,READY,COMPATIBILITY_ROUTING,supporting,PATCH,支持Windows吗？,大部分产品支持Windows，具体以商品说明为准。
k020,shop_pixel_tech,,STORE,MANUAL,ENABLED,READY,HUMAN_HANDOFF,supporting,KEEP,可以开票吗？,开票规则需人工确认订单信息和店铺政策。
k021,shop_pixel_tech,,STORE,MANUAL,ENABLED,READY,STORE_FAQ,supporting,KEEP,支持七天无理由吗？,支持7天无理由，已拆封且影响二次销售的商品按售后政策处理。
k022,shop_pixel_tech,,STORE,MANUAL,ENABLED,READY,AFTER_SALES,supporting,KEEP,质量问题怎么办？,请上传清晰图片，必要时补充视频，客服会结合订单处理。
k023,shop_pixel_tech,,STORE,MANUAL,ENABLED,READY,AFTER_SALES,supporting,KEEP,可以换货吗？,换货需确认商品状态与可换条件，由人工审批。
k024,shop_pixel_tech,,STORE,MANUAL,ENABLED,READY,HUMAN_HANDOFF,supporting,KEEP,怎么转人工？,回复“人工”即可切换人工客服。
k025,shop_pixel_tech,,STORE,MANUAL,ENABLED,READY,HUMAN_HANDOFF,optional_procurement,KEEP,支持企业采购吗？,支持企业批量采购，具体数量与报价需人工确认。
k026,shop_pixel_tech,,STORE,MANUAL,ENABLED,READY,ORDER_POLICY,supporting,KEEP,保修多久？,保修期限以商品说明和订单凭证为准。
k027,shop_pixel_tech,,STORE,MANUAL,ENABLED,READY,HUMAN_HANDOFF,supporting,PATCH,能开发票吗？,可否开票及票种需人工根据订单确认。
k028,shop_pixel_tech,,STORE,MANUAL,ENABLED,READY,COMPATIBILITY_ROUTING,supporting,KEEP,兼容手机吗？,需结合商品接口和手机型号判断，请提供具体设备。
k029,shop_pixel_tech,,STORE,MANUAL,ENABLED,READY,ORDER_POLICY,supporting,KEEP,订单怎么查？,请发送订单卡或选择具体订单，系统不会从多个订单中猜测。
k030,shop_pixel_tech,,STORE,MANUAL,ENABLED,READY,AFTER_SALES,supporting,KEEP,可以退款吗？,退款属于高风险操作，需要人工确认。
k031,shop_mia_fashion,fashion_hoodie,PRODUCT,AUTO_LEARNED,ENABLED,READY,MATERIAL,scenario_1_product,KEEP,是什么材质？,70%棉、30%聚酯纤维。
k032,shop_mia_fashion,fashion_hoodie,PRODUCT,MANUAL,ENABLED,READY,SPECIFICATION,scenario_2_fit,KEEP,版型怎么样？,该商品为宽松版型。
k033,shop_mia_fashion,fashion_hoodie,PRODUCT,HUMAN_REVIEWED,ENABLED,READY,CARE,scenario_1_care,KEEP,可以烘干吗？,不建议使用烘干机。
